date,temp,humidity
13-04-2022 19:18:35,16.83,97.0
13-04-2022 19:18:37,16.83,97.0
13-04-2022 19:18:40,16.83,97.0
13-04-2022 19:18:42,16.83,97.0
13-04-2022 19:18:45,16.83,97.0
13-04-2022 19:18:47,16.83,97.0
13-04-2022 19:18:50,16.83,97.0
13-04-2022 19:18:52,16.83,97.0
13-04-2022 19:18:54,16.83,97.0
13-04-2022 19:18:57,16.83,97.0
13-04-2022 19:18:59,16.83,97.0
13-04-2022 19:19:02,16.83,97.0
13-04-2022 19:19:04,16.83,97.0
13-04-2022 19:19:07,16.83,97.0
13-04-2022 19:19:09,16.83,97.0
13-04-2022 19:19:12,16.83,97.0
13-04-2022 19:19:14,16.83,97.0
13-04-2022 19:19:16,16.83,97.0
13-04-2022 19:19:19,16.83,97.0
13-04-2022 19:19:21,16.83,97.0
13-04-2022 19:19:24,16.83,97.0
13-04-2022 19:19:26,16.83,97.0
13-04-2022 19:19:29,16.83,97.0
13-04-2022 19:19:31,16.83,97.0
13-04-2022 19:19:33,16.83,97.0
13-04-2022 19:19:36,16.83,97.0
13-04-2022 19:19:38,16.83,97.0
13-04-2022 19:19:41,16.83,97.0
13-04-2022 19:19:43,16.83,97.0
13-04-2022 19:19:46,16.83,97.0
13-04-2022 19:19:48,16.83,97.0
13-04-2022 19:19:50,16.83,97.0
13-04-2022 19:19:53,16.83,97.0
13-04-2022 19:19:55,16.83,97.0
13-04-2022 19:19:58,16.83,97.0
13-04-2022 19:20:00,16.83,97.0
13-04-2022 19:20:02,16.83,97.0
13-04-2022 19:20:05,16.83,97.0
13-04-2022 19:20:07,16.83,97.0
13-04-2022 19:20:10,16.83,97.0
13-04-2022 19:20:12,16.83,97.0
13-04-2022 19:20:15,16.83,97.0
13-04-2022 19:20:17,16.83,97.0
13-04-2022 19:20:19,16.83,97.0
13-04-2022 19:20:22,16.83,97.0
13-04-2022 19:20:24,16.83,97.0
13-04-2022 19:20:27,16.83,97.0
13-04-2022 19:20:29,16.83,97.0
13-04-2022 19:20:32,16.83,97.0
13-04-2022 19:20:34,16.83,97.0
13-04-2022 19:20:36,16.83,97.0
13-04-2022 19:20:39,16.83,97.0
13-04-2022 19:20:41,16.83,97.0
13-04-2022 19:20:44,16.83,97.0
13-04-2022 19:20:46,16.83,97.0
13-04-2022 19:20:48,16.83,97.0
13-04-2022 19:20:51,16.83,97.0
13-04-2022 19:20:53,16.83,97.0
13-04-2022 19:20:56,16.83,97.0
13-04-2022 19:20:58,16.83,97.0
13-04-2022 19:21:01,16.83,97.0
13-04-2022 19:21:03,16.83,97.0
13-04-2022 19:21:06,16.83,97.0
13-04-2022 19:21:08,16.83,97.0
13-04-2022 19:21:10,16.83,97.0
13-04-2022 19:21:13,16.83,97.0
13-04-2022 19:21:15,16.83,97.0
13-04-2022 19:21:18,16.83,97.0
13-04-2022 19:21:20,16.83,97.0
13-04-2022 19:21:23,16.83,97.0
13-04-2022 19:21:25,16.83,97.0
13-04-2022 19:21:27,16.83,97.0
13-04-2022 19:21:30,16.83,97.0
13-04-2022 19:21:32,16.83,97.0
13-04-2022 19:21:35,16.83,97.0
13-04-2022 19:21:37,16.83,97.0
13-04-2022 19:21:39,16.83,97.0
13-04-2022 19:21:42,16.83,97.0
13-04-2022 19:21:44,16.83,97.0
13-04-2022 19:21:47,16.83,97.0
13-04-2022 19:21:49,16.83,97.0
13-04-2022 19:21:51,16.83,97.0
13-04-2022 19:21:54,16.83,97.0
13-04-2022 19:21:56,16.83,97.0
13-04-2022 19:21:59,16.83,97.0
13-04-2022 19:22:01,16.83,97.0
13-04-2022 19:22:03,16.83,97.0
13-04-2022 19:22:06,16.83,97.0
13-04-2022 19:22:08,16.83,97.0
13-04-2022 19:22:11,16.83,97.0
13-04-2022 19:22:13,16.83,97.0
13-04-2022 19:22:15,16.83,97.0
13-04-2022 19:22:18,16.83,97.0
13-04-2022 19:22:20,16.83,97.0
13-04-2022 19:22:23,16.83,97.0
13-04-2022 19:22:25,16.83,97.0
13-04-2022 19:22:28,16.83,97.0
13-04-2022 19:22:30,16.83,97.0
13-04-2022 19:22:32,16.83,97.0
13-04-2022 19:22:35,16.83,97.0
13-04-2022 19:22:37,16.83,97.0
13-04-2022 19:22:40,16.83,97.0
13-04-2022 19:22:42,16.83,97.0
13-04-2022 19:22:45,16.83,97.0
13-04-2022 19:22:47,16.83,97.0
13-04-2022 19:22:49,16.83,97.0
13-04-2022 19:22:52,16.83,97.0
13-04-2022 19:22:54,16.83,97.0
13-04-2022 19:22:57,16.83,97.0
13-04-2022 19:22:59,16.83,97.0
13-04-2022 19:23:02,16.83,97.0
13-04-2022 19:23:04,16.83,97.0
13-04-2022 19:23:06,16.83,97.0
13-04-2022 19:23:09,16.83,97.0
13-04-2022 19:23:11,16.83,97.0
13-04-2022 19:23:14,16.83,97.0
13-04-2022 19:23:16,16.83,97.0
13-04-2022 19:23:19,16.83,97.0
13-04-2022 19:23:21,16.83,97.0
13-04-2022 19:23:23,16.83,97.0
13-04-2022 19:23:26,16.83,97.0
13-04-2022 19:23:28,16.83,97.0
13-04-2022 19:23:31,16.83,97.0
13-04-2022 19:23:33,16.83,97.0
13-04-2022 19:23:35,16.83,97.0
13-04-2022 19:23:38,16.83,97.0
13-04-2022 19:23:40,16.83,97.0
13-04-2022 19:23:43,16.83,97.0
13-04-2022 19:23:45,16.83,97.0
13-04-2022 19:23:47,16.83,97.0
13-04-2022 19:23:50,16.83,97.0
13-04-2022 19:23:52,16.83,97.0
13-04-2022 19:23:55,16.83,97.0
13-04-2022 19:23:57,16.83,97.0
13-04-2022 19:23:59,16.83,97.0
13-04-2022 19:24:02,16.83,97.0
13-04-2022 19:24:04,16.83,97.0
13-04-2022 19:24:07,16.83,97.0
13-04-2022 19:24:09,16.83,97.0
13-04-2022 19:24:12,16.83,97.0
13-04-2022 19:24:14,16.83,97.0
13-04-2022 19:24:16,16.83,97.0
13-04-2022 19:24:19,16.83,97.0
13-04-2022 19:24:21,16.83,97.0
13-04-2022 19:24:24,16.83,97.0
13-04-2022 19:25:43,16.83,97.0
13-04-2022 19:25:53,16.83,97.0
13-04-2022 19:26:04,16.83,97.0
13-04-2022 19:26:14,16.83,97.0
13-04-2022 19:26:24,16.83,97.0
13-04-2022 19:26:35,16.83,97.0
13-04-2022 19:26:45,16.83,97.0
13-04-2022 19:26:56,16.83,97.0
13-04-2022 19:27:06,16.83,97.0
13-04-2022 19:27:17,16.83,97.0
13-04-2022 19:27:27,16.83,97.0
13-04-2022 19:27:38,16.83,97.0
13-04-2022 19:27:48,16.83,97.0
13-04-2022 19:27:58,16.83,97.0
13-04-2022 19:28:09,16.83,97.0
13-04-2022 19:28:19,16.83,97.0
13-04-2022 19:28:30,16.83,97.0
13-04-2022 19:28:40,16.83,97.0
13-04-2022 19:28:51,16.83,97.0
13-04-2022 19:29:01,16.83,97.0
13-04-2022 19:29:11,16.83,97.0
13-04-2022 19:29:22,16.83,97.0
13-04-2022 19:29:32,16.83,97.0
13-04-2022 19:29:43,16.83,97.0
13-04-2022 19:29:53,16.83,97.0
13-04-2022 19:30:04,16.83,97.0
13-04-2022 19:30:14,16.83,97.0
13-04-2022 19:30:25,16.83,97.0
13-04-2022 19:30:35,16.83,97.0
13-04-2022 19:30:46,16.83,97.0
13-04-2022 19:30:56,16.83,97.0
13-04-2022 19:31:06,16.83,97.0
13-04-2022 19:31:17,16.83,97.0
13-04-2022 19:31:27,16.83,97.0
13-04-2022 19:31:38,16.83,97.0
13-04-2022 19:31:48,16.83,97.0
13-04-2022 19:31:59,16.83,97.0
13-04-2022 19:32:09,16.83,97.0
13-04-2022 19:32:19,16.83,97.0
13-04-2022 19:32:30,16.83,97.0
13-04-2022 19:32:40,16.83,97.0
13-04-2022 19:32:51,16.83,97.0
13-04-2022 19:33:01,16.83,97.0
13-04-2022 19:33:11,16.83,97.0
13-04-2022 19:33:22,16.83,97.0
13-04-2022 19:33:32,16.83,97.0
13-04-2022 19:33:43,16.83,97.0
13-04-2022 19:33:53,16.83,97.0
13-04-2022 19:34:04,16.83,97.0
13-04-2022 19:34:14,16.83,97.0
13-04-2022 19:34:25,16.83,97.0
13-04-2022 19:34:35,16.83,97.0
13-04-2022 19:34:46,16.83,97.0
13-04-2022 19:34:56,16.83,97.0
13-04-2022 19:35:07,16.83,97.0
13-04-2022 19:35:17,16.83,97.0
13-04-2022 19:35:27,16.83,97.0
13-04-2022 19:35:38,16.83,97.0
13-04-2022 19:35:48,16.83,97.0
13-04-2022 19:35:59,16.83,97.0
13-04-2022 19:36:09,16.83,97.0
13-04-2022 19:36:20,16.83,97.0
13-04-2022 19:36:30,16.83,97.0
13-04-2022 19:36:41,16.83,97.0
13-04-2022 19:36:51,16.83,97.0
13-04-2022 19:37:02,16.83,97.0
13-04-2022 19:37:12,16.83,97.0
13-04-2022 19:37:22,16.83,97.0
13-04-2022 19:37:33,16.83,97.0
13-04-2022 19:37:43,16.83,97.0
13-04-2022 19:37:54,16.83,97.0
13-04-2022 19:38:04,16.83,97.0
13-04-2022 19:38:15,16.83,97.0
13-04-2022 19:38:25,16.5,97.0
13-04-2022 19:38:36,16.5,97.0
13-04-2022 19:38:46,16.5,97.0
13-04-2022 19:38:57,16.5,97.0
13-04-2022 19:39:07,16.5,97.0
13-04-2022 19:39:18,16.5,97.0
13-04-2022 19:39:28,16.5,97.0
13-04-2022 19:39:39,16.5,97.0
13-04-2022 19:39:49,16.5,97.0
13-04-2022 19:40:00,16.5,97.0
13-04-2022 19:40:10,16.5,97.0
13-04-2022 19:40:21,16.5,97.0
13-04-2022 19:40:31,16.5,97.0
13-04-2022 19:40:42,16.5,97.0
13-04-2022 19:40:52,16.5,97.0
13-04-2022 19:41:02,16.5,97.0
13-04-2022 19:41:13,16.5,97.0
13-04-2022 19:41:23,16.5,97.0
13-04-2022 19:41:34,16.5,97.0
13-04-2022 19:41:44,16.5,97.0
13-04-2022 19:41:55,16.5,97.0
13-04-2022 19:42:05,16.5,97.0
13-04-2022 19:42:16,16.5,97.0
13-04-2022 19:42:26,16.5,97.0
13-04-2022 19:42:37,16.5,97.0
13-04-2022 19:42:47,16.5,97.0
13-04-2022 19:42:57,16.5,97.0
13-04-2022 19:43:08,16.5,97.0
13-04-2022 19:43:18,16.5,97.0
13-04-2022 19:43:29,16.5,97.0
13-04-2022 19:43:39,16.5,97.0
13-04-2022 19:43:50,16.5,97.0
13-04-2022 19:44:00,16.5,97.0
13-04-2022 19:44:11,16.5,97.0
13-04-2022 19:44:21,16.5,97.0
13-04-2022 19:44:32,16.5,97.0
13-04-2022 19:44:42,16.5,97.0
13-04-2022 19:44:53,16.5,97.0
13-04-2022 19:45:03,16.5,97.0
13-04-2022 19:45:13,16.5,97.0
13-04-2022 19:45:24,16.5,97.0
13-04-2022 19:45:34,16.5,97.0
13-04-2022 19:45:45,16.5,97.0
13-04-2022 19:45:55,16.5,97.0
13-04-2022 19:46:06,16.5,97.0
13-04-2022 19:46:16,16.5,97.0
13-04-2022 19:46:27,16.5,97.0
13-04-2022 19:46:37,16.5,97.0
13-04-2022 19:46:48,16.5,97.0
13-04-2022 19:46:58,16.5,97.0
13-04-2022 19:47:09,16.5,97.0
13-04-2022 19:47:19,16.5,97.0
13-04-2022 19:47:29,16.5,97.0
13-04-2022 19:47:40,16.5,97.0
13-04-2022 19:47:50,16.5,97.0
13-04-2022 19:48:01,16.5,97.0
13-04-2022 19:48:11,16.5,97.0
13-04-2022 19:48:22,16.5,97.0
13-04-2022 19:48:32,16.5,97.0
13-04-2022 19:48:43,16.5,97.0
13-04-2022 19:48:53,16.5,97.0
13-04-2022 19:49:04,16.5,97.0
13-04-2022 19:49:14,16.5,97.0
13-04-2022 19:49:25,16.5,97.0
13-04-2022 19:49:35,16.5,97.0
13-04-2022 19:49:46,16.5,97.0
13-04-2022 19:49:56,16.5,97.0
13-04-2022 19:50:07,16.5,97.0
13-04-2022 19:50:17,16.5,97.0
13-04-2022 19:50:27,16.5,97.0
13-04-2022 19:50:38,16.5,97.0
13-04-2022 19:50:48,16.5,97.0
13-04-2022 19:50:59,16.5,97.0
13-04-2022 19:51:09,16.5,97.0
13-04-2022 19:51:20,16.5,97.0
13-04-2022 19:51:30,16.5,97.0
13-04-2022 19:51:41,16.5,97.0
13-04-2022 19:51:51,16.5,97.0
13-04-2022 19:52:01,16.5,97.0
13-04-2022 19:52:12,16.5,97.0
13-04-2022 19:52:22,16.5,97.0
13-04-2022 19:52:33,16.5,97.0
13-04-2022 19:52:43,16.5,97.0
13-04-2022 19:52:54,16.5,97.0
13-04-2022 19:53:04,16.5,97.0
13-04-2022 19:53:15,16.5,97.0
13-04-2022 19:53:25,16.5,97.0
13-04-2022 19:53:35,16.5,97.0
13-04-2022 19:53:46,16.5,97.0
13-04-2022 19:53:56,16.5,97.0
13-04-2022 19:54:07,16.5,97.0
13-04-2022 19:54:17,16.5,97.0
13-04-2022 19:54:28,16.5,97.0
13-04-2022 19:54:38,16.5,97.0
13-04-2022 19:54:49,16.5,97.0
13-04-2022 19:54:59,16.5,97.0
13-04-2022 19:55:09,16.5,97.0
13-04-2022 19:55:20,16.5,97.0
13-04-2022 19:55:30,16.5,97.0
13-04-2022 19:55:41,16.5,97.0
13-04-2022 19:55:51,16.5,97.0
13-04-2022 19:56:02,16.5,97.0
13-04-2022 19:56:12,16.5,97.0
13-04-2022 19:56:23,16.5,97.0
13-04-2022 19:56:33,16.5,97.0
13-04-2022 19:56:43,16.5,97.0
13-04-2022 19:56:54,16.5,97.0
13-04-2022 19:57:04,16.5,97.0
13-04-2022 19:57:15,16.5,97.0
13-04-2022 19:57:25,16.5,97.0
13-04-2022 19:57:36,16.5,97.0
13-04-2022 19:57:46,16.5,97.0
13-04-2022 19:57:57,16.5,97.0
13-04-2022 19:58:07,16.5,97.0
13-04-2022 19:58:18,16.5,97.0
13-04-2022 19:58:28,16.5,97.0
13-04-2022 19:58:38,16.5,97.0
13-04-2022 19:58:49,16.5,97.0
